Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
External HDD 2TB V2,186.76,293.23,136,Electronics,Midwest,5,659
Flash Drive 64GB Premium,377.71,547.56,236,Electronics,South,1,916
Memory Card 128GB Heavy Duty,676.62,921.91,235,Electronics,Primary,1,517
Desk Lamp LED XL,791.55,1266.26,298,Electronics,Midwest,2,552
Phone Charger V2,690.56,854.63,361,Electronics,West Coast,4,542
Screen Protector Premium,286.64,357.04,78,Electronics,East Coast,2,846
Phone Case Heavy Duty,760.84,1014.73,269,Electronics,Primary,2,590
Laptop Sleeve Standard,17.28,25.07,304,Electronics,South,4,687
Monitor Arm Standard,171.89,198.78,107,Electronics,Midwest,2,502
Keyboard Wrist Rest Bulk,521.11,826.67,285,Electronics,East Coast,1,717
Mouse Pad XL Compact,378.82,525.62,481,Electronics,West Coast,2,893
Cable Management Kit Lite,393.59,563.31,43,Electronics,East Coast,5,990
Surge Protector XL,119.72,187.53,397,Electronics,West Coast,2,987
UPS Battery Premium,467.08,698.52,59,Electronics,International,2,814
Microphone USB Eco,361.09,569.49,27,Electronics,Midwest,5,725
Ring Light Max,747.6,929.79,70,Electronics,East Coast,4,680
Green Screen V3,133.11,167.89,247,Electronics,West Coast,5,930
Streaming Deck Compact,209.56,292.7,271,Electronics,South,5,682
Capture Card Mini,220.08,285.13,329,Electronics,International,1,754
VR Headset Heavy Duty,626.77,799.07,210,Electronics,South,1,722
Drone Camera Plus,269.52,347.14,294,Electronics,Midwest,1,671
Action Camera Bulk,300.56,408.74,147,Electronics,Midwest,2,915
Digital Camera Lite,179.49,212.27,219,Electronics,East Coast,5,675
Camera Lens Mini,678.08,988.42,428,Electronics,South,4,881
Tripod XL,613.89,868.01,326,Electronics,Midwest,4,665
Camera Bag Standard,741.64,943.86,54,Electronics,South,3,649
Ballpoint Pens (12pk) Eco,40.62,50.77,296,Office Supplies,Primary,13,3079
Sticky Notes (8pk) Standard,130.59,185.88,1693,Office Supplies,Primary,6,2752
File Folders (24pk) Standard,55.13,70.35,1318,Office Supplies,International,8,2578
Printer Paper A4 Mini,95.11,148.43,1452,Office Supplies,South,16,2773
Ink Cartridge Black Standard,137.89,170.65,1279,Office Supplies,Midwest,7,3785
Ink Cartridge Color V3,22.24,40.01,817,Office Supplies,Midwest,11,2819
Desk Organizer Single,108.56,154.05,1439,Office Supplies,International,17,2767
Paper Shredder Single,14.04,23.89,1846,Office Supplies,International,11,3275
Laminator Plus,57.5,78.43,1869,Office Supplies,East Coast,20,2578
Label Maker Pro,71.61,92.97,358,Office Supplies,Midwest,7,3100
Whiteboard 48x36 Lite,34.48,54.71,1160,Office Supplies,South,19,3422
Markers (8pk) Compact,110.76,175.29,374,Office Supplies,South,18,3871
Eraser Premium,84.1,131.33,226,Office Supplies,Primary,9,2959
Stapler Pro,139.29,173.84,412,Office Supplies,International,13,2313
Staples (5000pk) Bulk,2.35,3.71,1995,Office Supplies,East Coast,5,2086
Tape Dispenser Heavy Duty,47.13,68.38,610,Office Supplies,International,16,3180
Scissors Pro,60.05,97.54,190,Office Supplies,International,15,3096
Paper Clips (100pk) Single,25.58,44.92,1275,Office Supplies,West Coast,17,2504
Binder Clips (24pk) Pro,148.72,235.03,557,Office Supplies,Midwest,6,3320
Rubber Bands (1lb) Eco,60.9,102.46,974,Office Supplies,West Coast,19,2716
Envelopes (100pk) V3,80.35,101.62,1225,Office Supplies,Midwest,17,3318
Notebooks (6pk) V3,68.65,92.68,316,Office Supplies,South,8,3780
Planner 2024 V2,9.99,13.84,669,Office Supplies,Midwest,5,3593
Calculator V3,71.51,108.84,990,Office Supplies,Primary,12,2083
Ruler Single,63.58,98.43,942,Office Supplies,International,10,2331
Hole Punch Single,115.43,145.73,1178,Office Supplies,South,19,3516
Letter Tray Plus,63.64,102.4,1273,Office Supplies,West Coast,8,3867
Magazine Rack Heavy Duty,142.04,250.05,1622,Office Supplies,South,14,2121
Bulletin Board Mini,82.22,117.1,1419,Office Supplies,South,16,2410
Push Pins (100pk) Lite,57.55,83.21,759,Office Supplies,International,6,2215
Correction Tape (3pk) Compact,108.99,183.87,1923,Office Supplies,Midwest,19,3687
Glue Sticks (6pk) Mini,139.17,232.67,1056,Office Supplies,West Coast,8,2647
Index Cards (200pk) Plus,8.74,14.97,1119,Office Supplies,West Coast,14,2444
Graph Paper Pad XL,35.33,45.25,837,Office Supplies,Midwest,9,2705
Legal Pads (3pk) Heavy Duty,66.64,115.37,807,Office Supplies,South,5,3558
Presentation Folders (25pk) Max,12.54,22.47,52,Office Supplies,East Coast,9,3913
Sheet Protectors (50pk) Mini,22.16,33.27,1127,Office Supplies,Primary,12,2916
Report Covers (12pk) Eco,77.43,119.55,648,Office Supplies,West Coast,12,3262
Clipboard Heavy Duty,45.59,66.2,1363,Office Supplies,South,17,2727
Pen Holder Compact,101.46,156.78,635,Office Supplies,International,5,3106
Office Chair Ergonomic Compact,55.08,63.54,78,Furniture,South,1,184
Standing Desk Plus,1025.96,1405.41,91,Furniture,International,2,177
L-Shaped Desk Single,614.3,751.19,69,Furniture,Primary,1,162
Bookshelf 5-Tier Single,929.06,1255.43,67,Furniture,West Coast,0,193
Filing Cabinet 3-Drawer Heavy Duty,849.85,954.86,23,Furniture,Primary,0,137
Conference Table V2,179.15,206.56,71,Furniture,East Coast,2,196
Guest Chair Eco,491.96,598.78,83,Furniture,East Coast,1,136
Desk Lamp Heavy Duty,1116.74,1389.86,17,Furniture,South,2,115
Floor Mat Eco,49.99,59.18,60,Furniture,West Coast,0,165
Monitor Riser Max,1047.65,1166.92,20,Furniture,Midwest,2,162
Storage Cabinet Standard,280.63,390.65,73,Furniture,International,2,118
Coat Rack Lite,1064.53,1330.84,16,Furniture,East Coast,0,160
Waste Basket Heavy Duty,776.94,1021.28,29,Furniture,Midwest,1,115
Desk Drawer Unit Pro,644.64,810.95,62,Furniture,East Coast,1,121
Computer Desk XL,586.77,805.65,8,Furniture,Midwest,2,103
Gaming Chair Plus,732.06,830.35,14,Furniture,West Coast,0,142
Recliner Max,842.66,1111.57,18,Furniture,East Coast,1,148
Sofa 3-Seater Standard,997.68,1120.49,41,Furniture,Midwest,1,115
Coffee Table Heavy Duty,806.44,997.89,35,Furniture,International,0,139
Side Table Eco,953.57,1187.44,19,Furniture,East Coast,0,190
TV Stand Standard,754.02,1007.26,55,Furniture,Midwest,2,174
Shoe Rack Max,617.05,856.58,91,Furniture,West Coast,0,190
Wardrobe Pro,783.64,1022.29,88,Furniture,International,2,177
Dresser V2,156.0,185.13,82,Furniture,Primary,2,139
Nightstand Mini,454.01,624.67,81,Furniture,East Coast,0,165
Bed Frame Queen Pro,602.01,826.68,65,Furniture,East Coast,2,148
Mattress Queen Pro,837.08,1140.48,48,Furniture,East Coast,1,105
Dining Table 6-seat Compact,1041.66,1217.95,97,Furniture,West Coast,1,177
Dining Chair Pro,53.53,59.1,90,Furniture,West Coast,1,144
Bar Stool Standard,166.89,207.27,47,Furniture,International,0,109
Kitchen Island Bulk,482.92,637.24,38,Furniture,East Coast,1,106
Pantry Cabinet Compact,782.18,910.74,5,Furniture,West Coast,1,197
Bathroom Vanity Heavy Duty,1194.36,1565.21,69,Furniture,South,0,175
Mirror Cabinet Compact,583.91,727.13,94,Furniture,Primary,1,163
Laundry Hamper XL,643.75,802.16,8,Furniture,Midwest,1,184
Room Divider XL,732.58,882.44,98,Furniture,West Coast,0,148
Accent Chair Compact,1015.3,1140.5,29,Furniture,Primary,1,178
Ottoman Compact,1193.59,1550.99,90,Furniture,Primary,0,168
Console Table Heavy Duty,755.45,975.74,91,Furniture,East Coast,1,115
Bench Storage Compact,202.38,240.53,10,Furniture,East Coast,0,155
All-Purpose Cleaner Premium,36.93,49.96,4846,Cleaning,Midwest,40,9845
Glass Cleaner Plus,26.89,39.06,2006,Cleaning,South,26,5594
Disinfectant Spray Pro,24.56,40.8,4224,Cleaning,West Coast,20,9289
Floor Cleaner Premium,28.0,43.91,3643,Cleaning,Primary,18,8863
Bathroom Cleaner Heavy Duty,33.29,47.31,1151,Cleaning,East Coast,14,9034
Degreaser Mini,10.43,15.08,2714,Cleaning,East Coast,34,7428
Air Freshener Single,16.22,25.14,173,Cleaning,International,17,7851
Microfiber Cloths (12pk) Plus,26.95,33.99,4189,Cleaning,West Coast,42,9975
Sponges (6pk) Heavy Duty,18.64,31.92,4701,Cleaning,International,13,7409
Rubber Gloves (3pk) Single,10.34,13.32,3034,Cleaning,Primary,33,7390
Trash Bags 13gal (50pk) Lite,12.25,18.44,1674,Cleaning,Primary,26,5413
Paper Towels (12pk) Compact,37.03,49.18,2889,Cleaning,Midwest,24,5716
Toilet Paper (24pk) Plus,33.64,44.82,53,Cleaning,International,46,5930
Hand Soap (6pk) Lite,6.01,8.02,1723,Cleaning,East Coast,23,6158
Hand Sanitizer V2,5.23,8.29,1210,Cleaning,West Coast,48,7578
Mop Mini,17.06,28.69,1418,Cleaning,South,49,9592
Broom Lite,13.87,23.52,3952,Cleaning,South,13,9923
Dustpan Heavy Duty,16.29,27.1,4874,Cleaning,West Coast,12,5046
Vacuum Bags (6pk) Standard,31.77,53.2,159,Cleaning,Midwest,50,8493
Dish Soap V3,9.16,13.79,1151,Cleaning,West Coast,42,6428
Dishwasher Tablets (30pk) Standard,23.84,34.69,1833,Cleaning,South,13,5949
Laundry Detergent Heavy Duty,35.93,55.31,1001,Cleaning,West Coast,44,7872
Fabric Softener Bulk,8.89,12.35,1863,Cleaning,East Coast,25,6465
Stain Remover Compact,36.07,57.39,3636,Cleaning,Midwest,48,9522
Bleach Single,10.45,13.15,3306,Cleaning,East Coast,21,7774
Duster Extendable XL,23.57,33.49,1054,Cleaning,West Coast,21,8031
Window Squeegee Pro,29.51,47.75,1058,Cleaning,West Coast,39,8722
Toilet Brush Plus,22.8,38.34,3423,Cleaning,Primary,38,8557
Plunger Mini,34.52,59.69,2195,Cleaning,International,18,6299
Drain Cleaner Single,17.68,29.84,3543,Cleaning,South,34,9862
Lint Roller Single,3.98,6.41,4525,Cleaning,East Coast,35,8112
Carpet Cleaner Premium,15.64,19.6,4476,Cleaning,East Coast,41,9740
Wood Polish Bulk,19.19,24.61,565,Cleaning,South,47,5729
Stainless Steel Cleaner Max,34.26,53.16,4841,Cleaning,Primary,38,7138
Oven Cleaner Mini,35.07,60.14,1837,Cleaning,International,16,6081
Grout Cleaner V2,17.03,22.73,2376,Cleaning,Primary,47,6307
First Aid Kit V3,148.63,222.26,671,Safety,Midwest,3,1567
Fire Extinguisher Standard,127.94,150.99,775,Safety,West Coast,3,1631
Safety Goggles Eco,191.75,248.72,295,Safety,East Coast,3,1890
Work Gloves V3,103.91,136.14,487,Safety,International,10,1776
Hard Hat Compact,28.97,39.83,665,Safety,South,5,1469
Safety Vest Heavy Duty,175.87,214.83,516,Safety,Primary,6,1914
Ear Plugs (50pk) Pro,159.18,206.93,725,Safety,Primary,2,1352
Dust Masks (50pk) Premium,45.12,65.62,972,Safety,Midwest,9,1208
Face Shields (5pk) V2,138.55,184.63,327,Safety,International,7,1572
Safety Boots Single,95.61,121.61,472,Safety,Midwest,10,1544
Knee Pads Mini,145.84,177.41,120,Safety,East Coast,5,1027
Back Support Belt V3,114.61,171.87,959,Safety,Midwest,2,1690
Anti-Fatigue Mat Eco,82.32,98.06,534,Safety,International,7,1262
Wet Floor Sign Eco,39.53,46.25,210,Safety,South,7,1896
Safety Cone Standard,109.58,153.25,937,Safety,Midwest,9,1832
Fire Blanket Standard,59.72,71.87,149,Safety,South,5,1931
Smoke Detector Heavy Duty,95.98,117.6,207,Safety,International,8,1297
Carbon Monoxide Detector Premium,19.91,28.79,212,Safety,South,2,1923
Emergency Kit Max,42.25,60.5,959,Safety,East Coast,3,1802
Flashlight Heavy Duty Standard,25.95,34.41,254,Safety,South,2,1689
Batteries AA (24pk) Single,135.83,194.73,478,Safety,Midwest,10,1337
Batteries AAA (24pk) XL,23.13,33.66,659,Safety,West Coast,9,1333
Extension Cord 25ft XL,185.51,254.98,764,Safety,Primary,4,1658
Power Strip 6-outlet Single,131.13,151.03,809,Safety,West Coast,9,1615
Cable Cover Premium,44.42,56.06,984,Safety,West Coast,2,1000
Lockout Tagout Kit Single,6.43,7.51,684,Safety,Primary,7,1005
Spill Kit Bulk,181.96,241.86,451,Safety,Primary,9,1165
Eye Wash Station Lite,150.89,202.62,513,Safety,International,7,1767
Chemical Storage Cabinet Max,172.11,222.9,515,Safety,South,9,1332
Gas Detector Bulk,99.78,149.09,19,Safety,South,10,1928
Cardboard Box Small Bulk,29.59,37.24,9023,Packaging,West Coast,71,19672
Cardboard Box Medium Heavy Duty,75.44,108.38,8056,Packaging,International,33,18687
Cardboard Box Large V2,64.95,86.59,2511,Packaging,International,92,19859
Bubble Wrap Roll Premium,62.51,84.22,6564,Packaging,Midwest,42,15010
Packing Peanuts Max,35.38,53.94,9694,Packaging,Midwest,73,10954
Shipping Tape (6pk) Bulk,33.11,48.67,4384,Packaging,East Coast,97,19007
Labels (500pk) Max,54.49,75.28,1985,Packaging,West Coast,70,16040
Poly Mailers (100pk) Mini,39.11,55.0,9447,Packaging,West Coast,28,14167
Shrink Wrap Roll Premium,67.03,88.97,9588,Packaging,West Coast,47,15467
Packing Paper (25lb) Heavy Duty,62.65,90.22,7951,Packaging,South,44,13088
Foam Sheets (50pk) Bulk,47.99,58.41,3235,Packaging,South,66,10961
Strapping Tape Bulk,66.03,97.33,8564,Packaging,West Coast,44,17605
Pallet Wrap Plus,16.26,19.83,7568,Packaging,International,61,12850
Void Fill Plus,22.55,31.61,1675,Packaging,South,38,14240
Tissue Paper (100pk) Mini,47.08,70.94,7407,Packaging,International,26,11071
Gift Boxes (12pk) Pro,42.18,62.65,8002,Packaging,International,77,11713
Ribbon Roll V3,34.74,52.4,6953,Packaging,South,37,19797
Gift Bags (24pk) Heavy Duty,31.85,48.96,2412,Packaging,Primary,35,10943
Kraft Paper Roll Mini,20.04,31.13,4864,Packaging,East Coast,88,19025
Corrugated Roll V3,54.68,78.76,6352,Packaging,Primary,56,18578
Coffee Beans 1lb V3,31.42,45.58,1693,Food & Beverage,Primary,21,4488
Ground Coffee 2lb XL,4.48,6.36,1722,Food & Beverage,Primary,28,3514
Tea Bags (100pk) Heavy Duty,43.93,58.34,1314,Food & Beverage,East Coast,22,3009
Sugar 5lb Lite,17.12,21.87,90,Food & Beverage,East Coast,23,3050
Creamer (50pk) Standard,4.27,5.26,2204,Food & Beverage,International,16,4793
Cups 12oz (100pk) Eco,22.34,32.32,1908,Food & Beverage,Midwest,12,4920
Lids 12oz (100pk) Single,21.16,31.11,1610,Food & Beverage,South,24,5252
Stirrers (1000pk) V2,22.7,26.76,2285,Food & Beverage,Midwest,29,5952
Napkins (500pk) Pro,33.7,39.55,1814,Food & Beverage,West Coast,18,5530
Paper Plates (100pk) Compact,21.8,26.71,1382,Food & Beverage,West Coast,14,3466
Plastic Cutlery Set (200pk) Pro,28.19,33.79,1510,Food & Beverage,South,17,4413
Water Bottles (24pk) Max,21.86,26.92,1577,Food & Beverage,Primary,25,5591
Snack Bars (12pk) Single,3.6,4.76,2215,Food & Beverage,Primary,19,4795
Nuts Variety (6pk) Pro,14.21,20.2,921,Food & Beverage,East Coast,24,4141
Dried Fruit (6pk) V2,27.59,33.32,1561,Food & Beverage,Primary,23,5870
Crackers (8pk) Heavy Duty,5.99,7.02,1749,Food & Beverage,West Coast,8,4094
Peanut Butter Bulk,5.98,7.82,263,Food & Beverage,Primary,9,4507
Jelly Single,40.56,51.27,1864,Food & Beverage,South,14,4031
Canned Soup (6pk) Compact,21.15,30.32,2716,Food & Beverage,East Coast,12,4952
Canned Tuna (6pk) V2,25.88,33.84,1083,Food & Beverage,Primary,24,3904
Rice 10lb Compact,12.88,15.04,191,Food & Beverage,International,12,5057
Pasta (6pk) Bulk,27.74,39.15,2144,Food & Beverage,South,9,5321
Olive Oil V2,10.99,15.69,768,Food & Beverage,South,27,5593
Vinegar Standard,43.65,55.26,694,Food & Beverage,West Coast,9,3875
Salt & Pepper Set XL,5.65,7.28,1824,Food & Beverage,West Coast,14,4519
Spice Rack Plus,21.09,29.57,553,Food & Beverage,Primary,19,3049
Honey Compact,24.16,28.95,560,Food & Beverage,Midwest,29,3633
Granola Single,41.14,53.45,691,Food & Beverage,International,19,3171
Protein Powder Standard,20.98,27.06,1021,Food & Beverage,International,16,3435
Electrolyte Mix (30pk) Plus,37.67,45.73,2205,Food & Beverage,West Coast,7,3884
Wireless Mouse Plus,543.87,749.87,353,Electronics,International,1,853
Mechanical Keyboard Single,152.46,238.04,151,Electronics,South,5,510
USB-C Hub Eco,550.73,699.38,88,Electronics,International,1,999
Webcam HD Max,648.53,889.86,476,Electronics,West Coast,2,617
Bluetooth Speaker V3,194.23,228.62,73,Electronics,Primary,2,809
Portable Charger Plus,14.27,16.97,99,Electronics,Primary,2,987
HDMI Cable Heavy Duty,662.93,877.31,224,Electronics,Midwest,1,665
SSD 1TB Pro,135.73,168.4,229,Electronics,West Coast,1,693
RAM 16GB V2,663.91,1014.32,17,Electronics,International,4,963
Graphics Card Eco,54.77,73.24,236,Electronics,South,1,604
CPU Processor Heavy Duty,146.49,177.79,239,Electronics,South,3,877
Motherboard Standard,634.79,1015.29,335,Electronics,Midwest,4,787
Power Supply 750W Pro,478.18,734.34,332,Electronics,Primary,5,601
PC Case Lite,372.08,453.4,494,Electronics,International,5,531
Monitor 27 inch Heavy Duty,140.5,194.0,328,Electronics,South,2,958
Laptop Stand XL,432.98,550.43,429,Electronics,International,5,638
Noise Cancelling Headphones V3,373.62,438.16,128,Electronics,International,2,778
Smart Watch V3,427.41,682.95,85,Electronics,West Coast,3,965
Fitness Tracker V2,653.41,924.63,335,Electronics,Primary,4,501
Wireless Earbuds Lite,695.12,942.81,86,Electronics,West Coast,2,821
Tablet 10 inch XL,577.92,798.55,45,Electronics,West Coast,4,959
E-Reader XL,218.45,308.38,400,Electronics,West Coast,1,578
Smart Plug Mini,269.9,349.47,70,Electronics,International,4,773
WiFi Router Mini,463.13,569.09,161,Electronics,South,4,617
Network Switch V2,267.94,420.94,376,Electronics,Midwest,4,836
External HDD 2TB V2,536.36,784.22,313,Electronics,Midwest,3,576
Flash Drive 64GB V3,308.46,395.31,191,Electronics,South,4,726
Memory Card 128GB Plus,593.55,924.66,380,Electronics,South,4,702
Desk Lamp LED Plus,164.12,259.15,375,Electronics,East Coast,2,571
Phone Charger Eco,188.99,243.14,173,Electronics,South,1,642
Screen Protector XL,318.15,452.2,434,Electronics,East Coast,5,594
Phone Case Plus,576.95,821.16,462,Electronics,International,3,639
Laptop Sleeve Max,6.25,9.14,225,Electronics,Primary,3,624
Monitor Arm Compact,274.16,392.69,273,Electronics,South,4,611
Keyboard Wrist Rest Heavy Duty,439.01,690.34,204,Electronics,Primary,3,624
Mouse Pad XL Bulk,176.36,273.59,279,Electronics,South,2,971
Cable Management Kit Premium,740.58,981.35,454,Electronics,East Coast,5,882
Surge Protector XL,490.47,628.29,282,Electronics,International,2,932
UPS Battery Single,599.37,924.66,204,Electronics,Midwest,5,642
Microphone USB Mini,47.37,75.35,232,Electronics,International,5,612
Ring Light Heavy Duty,537.26,784.91,191,Electronics,International,1,655
Green Screen Pro,405.91,599.7,445,Electronics,South,5,919
Streaming Deck Mini,255.54,325.65,324,Electronics,East Coast,2,876
Capture Card Mini,310.18,489.12,365,Electronics,South,1,665
VR Headset Heavy Duty,70.3,90.34,291,Electronics,South,4,952
Drone Camera Bulk,98.73,126.24,247,Electronics,East Coast,4,718
Action Camera Bulk,765.78,1029.48,436,Electronics,Primary,1,937
Digital Camera Bulk,655.24,861.91,83,Electronics,Midwest,3,883
Camera Lens Pro,528.21,633.59,150,Electronics,International,3,733
Tripod Mini,31.0,37.33,148,Electronics,South,2,681
Camera Bag Premium,463.56,642.3,278,Electronics,South,4,747
Ballpoint Pens (12pk) Mini,35.44,62.09,846,Office Supplies,International,11,2929
Sticky Notes (8pk) Lite,130.12,229.53,1963,Office Supplies,South,19,2364
File Folders (24pk) Compact,63.3,105.84,1571,Office Supplies,International,13,2246
Printer Paper A4 Premium,114.82,164.41,1728,Office Supplies,East Coast,20,2678
Ink Cartridge Black Eco,127.76,190.85,1540,Office Supplies,International,7,2997
Ink Cartridge Color Compact,14.49,19.85,864,Office Supplies,Primary,11,3122
Desk Organizer XL,100.5,159.32,214,Office Supplies,South,8,3567
Paper Shredder Lite,22.33,36.59,398,Office Supplies,East Coast,10,3024
Laminator Heavy Duty,120.89,145.64,710,Office Supplies,Midwest,20,3780
Label Maker XL,105.46,142.65,356,Office Supplies,South,5,3730
Whiteboard 48x36 Pro,31.71,54.38,955,Office Supplies,International,14,3272
Markers (8pk) Standard,26.82,37.46,316,Office Supplies,Primary,5,2455
Eraser Max,108.87,163.39,140,Office Supplies,Midwest,9,3091
Stapler Mini,131.58,192.37,1114,Office Supplies,East Coast,8,3260
Staples (5000pk) V3,11.02,19.57,126,Office Supplies,Midwest,12,2402
Tape Dispenser V3,124.3,217.19,764,Office Supplies,International,17,3888
Scissors Max,135.11,164.31,321,Office Supplies,Primary,5,2590
Paper Clips (100pk) Single,51.16,69.78,577,Office Supplies,Primary,18,3535
Binder Clips (24pk) Heavy Duty,5.34,8.79,616,Office Supplies,South,6,3928
Rubber Bands (1lb) V3,124.84,172.13,593,Office Supplies,Primary,5,2798
Envelopes (100pk) Premium,8.08,13.33,421,Office Supplies,East Coast,11,3646
Notebooks (6pk) V2,9.89,14.64,220,Office Supplies,East Coast,7,3562
Planner 2024 Standard,141.77,224.33,651,Office Supplies,South,10,3579
Calculator Heavy Duty,125.55,201.52,460,Office Supplies,East Coast,17,3944
Ruler Lite,59.9,85.26,1922,Office Supplies,West Coast,13,3308
Hole Punch Eco,69.89,115.02,67,Office Supplies,South,15,3225
Letter Tray Single,93.39,152.21,762,Office Supplies,Primary,9,3394
Magazine Rack V2,92.48,131.33,240,Office Supplies,Primary,16,2334
Bulletin Board Heavy Duty,17.93,30.4,1095,Office Supplies,South,9,2826
Push Pins (100pk) Standard,39.66,62.97,506,Office Supplies,Midwest,8,3057
Correction Tape (3pk) Premium,60.56,77.49,807,Office Supplies,Primary,5,3848
Glue Sticks (6pk) Mini,54.71,82.06,814,Office Supplies,Midwest,16,2351
Index Cards (200pk) XL,34.04,50.75,343,Office Supplies,South,13,3562
Graph Paper Pad V3,54.34,92.08,650,Office Supplies,Primary,12,3529
Legal Pads (3pk) Heavy Duty,99.93,138.23,1973,Office Supplies,West Coast,6,2538
Presentation Folders (25pk) XL,1.03,1.67,1457,Office Supplies,West Coast,14,2938
Sheet Protectors (50pk) Compact,84.69,126.83,1244,Office Supplies,Midwest,7,2381
Report Covers (12pk) Heavy Duty,91.85,113.15,1142,Office Supplies,East Coast,8,3713
Clipboard Mini,105.07,134.4,1402,Office Supplies,International,11,2942
Pen Holder Heavy Duty,29.94,42.47,1559,Office Supplies,Midwest,5,3253
Office Chair Ergonomic Eco,358.37,474.44,75,Furniture,International,0,175
Standing Desk Standard,116.48,162.81,19,Furniture,International,0,182
L-Shaped Desk Heavy Duty,431.3,532.69,78,Furniture,East Coast,1,113
Bookshelf 5-Tier Bulk,1051.36,1309.56,68,Furniture,West Coast,1,166
Filing Cabinet 3-Drawer Plus,940.02,1313.62,39,Furniture,Primary,2,129
Conference Table Lite,312.28,345.25,81,Furniture,International,0,136
Guest Chair Single,421.39,491.69,2,Furniture,International,2,183
Desk Lamp Standard,73.18,84.54,78,Furniture,International,2,112
Floor Mat Premium,806.65,1018.06,57,Furniture,South,0,200
Monitor Riser Plus,688.16,858.28,23,Furniture,Midwest,2,143
Storage Cabinet Single,907.58,1133.53,87,Furniture,South,2,167
Coat Rack Bulk,1091.62,1278.54,98,Furniture,South,1,151
Waste Basket Plus,1119.32,1234.01,98,Furniture,East Coast,2,101
Desk Drawer Unit XL,1076.72,1234.16,71,Furniture,West Coast,1,195
Computer Desk Bulk,767.05,1036.85,7,Furniture,Midwest,0,190
Gaming Chair XL,859.38,1148.47,43,Furniture,Primary,0,167
Recliner Heavy Duty,737.99,825.69,13,Furniture,Midwest,0,139
Sofa 3-Seater Lite,1005.77,1363.45,2,Furniture,East Coast,0,197
Coffee Table Lite,1028.03,1254.72,55,Furniture,Midwest,1,100
Side Table V3,758.68,1012.95,24,Furniture,South,1,169
TV Stand Lite,78.78,99.91,52,Furniture,International,0,163
Shoe Rack Eco,876.81,1103.06,59,Furniture,West Coast,2,197
Wardrobe Single,1139.79,1421.32,97,Furniture,South,1,104
Dresser V2,292.2,323.86,76,Furniture,West Coast,1,116
Nightstand Single,977.65,1310.8,59,Furniture,West Coast,0,189
Bed Frame Queen XL,826.95,1053.0,63,Furniture,East Coast,2,174
Mattress Queen XL,1172.46,1561.91,4,Furniture,South,0,124
Dining Table 6-seat Compact,663.81,851.86,24,Furniture,International,1,137
Dining Chair Bulk,1094.7,1381.78,48,Furniture,South,1,189
Bar Stool Plus,68.38,79.05,41,Furniture,Primary,1,100
Kitchen Island Single,785.84,955.89,67,Furniture,South,2,166
Pantry Cabinet Compact,588.26,757.66,94,Furniture,Primary,1,113
Bathroom Vanity Premium,291.42,386.73,7,Furniture,Midwest,2,177
Mirror Cabinet Standard,779.26,915.12,35,Furniture,South,2,135
Laundry Hamper Max,1048.66,1348.48,55,Furniture,South,2,141
Room Divider Premium,770.45,971.28,29,Furniture,West Coast,1,154
Accent Chair Eco,850.94,1119.26,79,Furniture,Primary,2,186
Ottoman Single,932.91,1128.19,3,Furniture,South,0,109
Console Table Standard,863.4,1021.93,34,Furniture,East Coast,0,108
Bench Storage Standard,854.58,1055.27,54,Furniture,South,0,148
All-Purpose Cleaner Premium,29.06,38.48,2800,Cleaning,Primary,49,9078
Glass Cleaner Compact,15.75,24.71,2780,Cleaning,South,14,6808
Disinfectant Spray Pro,16.68,28.6,267,Cleaning,South,23,5765
Floor Cleaner Standard,8.05,11.05,355,Cleaning,International,49,7092
Bathroom Cleaner Bulk,19.61,24.95,4240,Cleaning,South,27,5192
Degreaser Premium,21.3,26.82,2597,Cleaning,Midwest,48,6015
Air Freshener Single,19.15,25.65,845,Cleaning,Primary,24,6238
Microfiber Cloths (12pk) Mini,26.37,40.24,3680,Cleaning,South,27,6312
Sponges (6pk) Premium,18.6,30.31,4512,Cleaning,Midwest,30,8588
Rubber Gloves (3pk) Bulk,31.72,48.21,4846,Cleaning,Primary,34,8487
Trash Bags 13gal (50pk) Premium,23.97,36.59,1641,Cleaning,International,25,6860
Paper Towels (12pk) Standard,5.87,9.56,2725,Cleaning,South,36,8213
Toilet Paper (24pk) XL,31.21,54.51,1671,Cleaning,International,40,6459
Hand Soap (6pk) Single,38.88,64.59,600,Cleaning,Midwest,41,7166
Hand Sanitizer Lite,25.55,39.72,4210,Cleaning,Midwest,17,8597
Mop Pro,19.11,32.2,4056,Cleaning,Midwest,49,5779
Broom Single,10.64,14.67,1938,Cleaning,Midwest,13,5862
Dustpan Mini,7.51,12.36,3685,Cleaning,Midwest,39,6747
Vacuum Bags (6pk) V3,16.73,23.9,4067,Cleaning,East Coast,40,5458
Dish Soap Max,24.07,36.62,193,Cleaning,Primary,25,8408
Dishwasher Tablets (30pk) Bulk,27.69,39.53,4106,Cleaning,East Coast,25,8286
Laundry Detergent Compact,37.9,59.13,1007,Cleaning,International,39,7677
Fabric Softener Single,17.25,24.04,1162,Cleaning,International,28,9068
Stain Remover Eco,13.71,21.26,3155,Cleaning,Midwest,45,9484
Bleach V2,11.03,14.36,4639,Cleaning,International,30,5735
Duster Extendable Pro,36.36,50.15,2520,Cleaning,International,28,9429
Window Squeegee Max,38.76,67.58,862,Cleaning,West Coast,34,5139
